"keyword","title","category","status","published","languages","id"
"subway","지하철 이용 어휘 (표 구매·개찰·환승·출구)","vocab","review","false","en vi es id pt-BR ko ja zh fr de","3aef8883-c18d-42a6-ab0f-2fd1b4c4d587"
"cvstore","편의점에서 물건을 찾아요","reading","review","false","en vi es id pt-BR ko ja zh fr de","b9f251a6-2fc9-49f3-ab61-850ff5778615"
"progressive","-고 있다 vs -아/어 있다 구분하기","grammar","review","false","en vi es id pt-BR ko ja zh fr de","1c15e6d3-f3d6-42ee-a7e7-e4a3b2bfcb0a"
"laundromat","무인 빨래방에서 세탁기·건조기 쓰기","reallife","review","false","en vi es id pt-BR ko ja zh fr de","1d79f873-7a67-4a0d-8269-4e1050a335f0"
"eouvowels","모음 ㅓ·ㅗ·ㅜ 연습","hangul","review","false","en vi es id pt-BR ko ja zh fr de","16769864-edad-42dd-93e3-74362cbc21b2"
"parcel","택배 받기·보내기: 기본 표현","etc","review","false","en vi es id pt-BR ko ja zh fr de","e08e86ec-1eb7-4ebe-a980-e27f4a5f3319"
"cafevocab","카페 주문 필수 어휘 10","vocab","review","false","en vi es id pt-BR ko ja zh fr de","bba278d3-1dd6-455d-a7ee-9f35e491a283"
"aevowels","모음 ㅐ·ㅔ·ㅖ 구별하고 읽기","hangul","review","false","en vi es id pt-BR ko ja zh fr de","2a8d6875-48f3-4d2d-9114-e1756c9bf931"
"elevator","아파트 엘리베이터 점검 안내문 읽기","reading","review","false","en vi es id pt-BR ko ja zh fr de","498fd081-2233-495d-848a-352cf4b09d45"
"kiosk","카페·패스트푸드 키오스크: 자주 보이는 버튼 12개 읽기","etc","review","false","en vi es id pt-BR ko ja zh fr de","748acfcc-07c0-42d7-bd99-5ffc5a7d594f"
"cafeorder","카페에서 음료 주문하기: 핫/아이스, 사이즈, 매장/포장","reallife","review","false","en vi es id pt-BR ko ja zh fr de","b43d21c1-0ed1-4f42-80d6-150daca56bcf"
